iter	RMSE
0	0.7557000338
1	0.7493600982
2	0.743514423
3	0.7382158866
4	0.7328100673
5	0.7282379845
6	0.7235097047
7	0.7192701207
8	0.7145389845
9	0.7107975579
10	0.7073552008
11	0.7039267462
12	0.7012052908
13	0.6978526378
14	0.6945116329
15	0.6914584652
16	0.6885209604
17	0.6851233838
18	0.6826488199
19	0.6803035264
20	0.6778816144
21	0.6754488587
22	0.6732046631
23	0.6715408872
24	0.669339071
25	0.6676261745
26	0.666502681
27	0.6649058979
28	0.6636989604
29	0.6621341223
30	0.6606402705
31	0.6587365202
32	0.6574205223
33	0.6558929532
34	0.6541927522
35	0.652761214
36	0.6513565404
37	0.650056367
38	0.6490267182
39	0.6479364569
40	0.646779994
41	0.6453769825
42	0.6441114705
43	0.6431435514
44	0.6420254022
45	0.641160467
46	0.6399315543
47	0.6386747285
48	0.6377063223
49	0.6367569663
50	0.6356021847
51	0.6348606266
52	0.6336613046
53	0.6329788397
54	0.6320740247
55	0.6309132778
56	0.6299375459
57	0.6292060739
58	0.6286947833
59	0.62798061
60	0.6273786395
61	0.6264336518
62	0.625710425
63	0.62464731
64	0.6239307759
65	0.6225826775
66	0.621965999
67	0.6210949593
68	0.6204568256
69	0.619898796
70	0.6194006123
71	0.6186771922
72	0.6180168337
73	0.6173412495
74	0.6167610104
75	0.6162600145
76	0.6154745405
77	0.6149666471
78	0.6140397936
79	0.6134469401
80	0.6128622798
81	0.6124406771
82	0.6118299238
83	0.6112269881
84	0.6105609579
85	0.6100998712
86	0.6096259133
87	0.6091964735
88	0.6086286042
89	0.6078739149
90	0.6072269549
91	0.6064271224
92	0.6059880489
93	0.6054543135
94	0.6050472694
95	0.6046603732
96	0.604215924
97	0.6037835161
98	0.6032133891
99	0.6025472016
100	0.6021691243
101	0.6016646883
102	0.6014329
103	0.6009597441
104	0.6004848364
105	0.5998474064
106	0.5993147851
107	0.59895661
108	0.5983053294
109	0.5976569434
110	0.5971929732
111	0.5965849927
112	0.5960056115
113	0.5956437704
114	0.595415619
115	0.5952631391
116	0.5946367066
117	0.5940058786
118	0.5938401013
119	0.5934194873
120	0.5931784204
121	0.5926987811
122	0.5920287005
123	0.5916152732
124	0.591070489
125	0.5906159306
126	0.5900695424
127	0.5896654256
128	0.5893639214
129	0.5889025007
130	0.5887325741
131	0.5881766522
132	0.5876356671
133	0.5873110788
134	0.586826678
135	0.5863667344
136	0.5862010158
137	0.5857847164
138	0.5854354684
139	0.5850330139
140	0.5842629306
141	0.5839549876
142	0.5835567314
143	0.5832647098
144	0.582995208
145	0.582867867
146	0.5824784524
147	0.582124849
148	0.5814955727
149	0.5810677703
150	0.5805219744
151	0.5800649905
152	0.5799592306
153	0.5792541212
154	0.5790632049
155	0.5786973605
156	0.5780943676
157	0.5779103038
158	0.5777542065
159	0.5776897207
160	0.5775913778
161	0.5771733636
162	0.5767309269
163	0.5760601165
164	0.5757616566
165	0.5753471477
166	0.5752193568
167	0.5748851598
168	0.5745216775
169	0.5742217196
170	0.5740302112
171	0.5734051806
172	0.572572302
173	0.572491899
174	0.5721211677
175	0.5719163101
176	0.5717643121
177	0.5709229984
178	0.5706110058
179	0.570480196
180	0.5702916843
181	0.5698162466
182	0.5696484291
183	0.5692915874
184	0.5688880256
185	0.5678749652
186	0.5677401442
187	0.5675497421
188	0.5674750498
189	0.5668943428
190	0.5665734378
191	0.5657394515
192	0.565523342
193	0.5654138041
194	0.5652847313
195	0.565219992
196	0.5651740149
197	0.5649499668
198	0.5647995168
199	0.5644831712
