iter	Passed	Remaining
0	1	413
1	2	373
2	3	367
3	4	354
4	5	345
5	7	337
6	8	333
7	9	330
8	10	328
9	11	325
10	12	325
11	13	322
12	14	321
13	15	318
14	16	316
15	18	314
16	19	314
17	20	312
18	21	310
19	22	307
20	23	305
21	24	303
22	25	301
23	26	299
24	27	297
25	28	295
26	29	294
27	30	293
28	31	291
29	32	289
30	33	287
31	34	286
32	36	286
33	37	285
34	38	284
35	39	282
36	40	281
37	41	279
38	42	278
39	43	276
40	44	275
41	45	274
42	46	273
43	47	272
44	48	270
45	49	269
46	50	268
47	51	267
48	52	265
49	53	264
50	55	263
51	56	261
52	57	260
53	58	259
54	59	257
55	60	256
56	61	255
57	62	254
58	63	253
59	64	252
60	65	250
61	66	249
62	67	249
63	68	248
64	69	247
65	71	246
66	72	245
67	73	244
68	74	243
69	75	241
70	76	240
71	77	239
72	78	238
73	79	237
74	80	235
75	81	234
76	82	233
77	83	232
78	84	231
79	85	230
80	86	228
81	87	227
82	88	226
83	89	225
84	90	224
85	91	223
86	92	221
87	93	220
88	94	219
89	96	218
90	97	217
91	98	216
92	99	215
93	100	214
94	101	213
95	102	212
96	103	211
97	104	209
98	105	208
99	106	207
100	107	206
101	108	205
102	109	204
103	110	203
104	111	202
105	112	200
106	113	199
107	114	198
108	115	197
109	116	196
110	117	195
111	118	194
112	119	193
113	120	192
114	121	190
115	122	189
116	123	188
117	124	187
118	126	186
119	127	185
120	128	184
121	129	183
122	130	182
123	131	181
124	132	180
125	133	179
126	134	178
127	135	177
128	136	176
129	138	175
130	139	174
131	140	173
132	141	172
133	142	171
134	143	170
135	144	169
136	146	168
137	147	167
138	148	166
139	149	165
140	150	164
141	151	163
142	152	162
143	153	161
144	155	160
145	156	159
146	157	158
147	158	157
148	159	156
149	160	155
150	161	154
151	162	153
152	164	152
153	165	151
154	166	150
155	167	148
156	168	147
157	169	146
158	170	145
159	171	144
160	172	143
161	173	142
162	175	141
163	176	140
164	177	139
165	178	138
166	179	137
167	180	136
168	181	135
169	182	134
170	183	133
171	184	132
172	185	131
173	186	129
174	187	128
175	188	127
176	189	126
177	190	125
178	192	124
179	193	123
180	194	122
181	195	121
182	196	120
183	197	118
184	198	117
185	199	116
186	200	115
187	201	114
188	202	113
189	203	112
190	204	111
191	205	110
192	206	109
193	207	107
194	208	106
195	209	105
196	210	104
197	211	103
198	212	102
199	213	101
200	214	100
201	215	99
202	216	98
203	217	97
204	218	96
205	219	94
206	220	93
207	221	92
208	222	91
209	223	90
210	225	89
211	226	88
212	227	87
213	228	86
214	229	85
215	230	84
216	231	83
217	232	82
218	233	80
219	234	79
220	235	78
221	236	77
222	237	76
223	238	75
224	239	74
225	240	73
226	241	72
227	242	71
228	243	70
229	244	69
230	245	68
231	246	66
232	247	65
233	248	64
234	249	63
235	250	62
236	251	61
237	252	60
238	253	59
239	254	58
240	255	57
241	256	56
242	257	55
243	258	54
244	259	53
245	260	51
246	262	50
247	263	49
248	264	48
249	265	47
250	266	46
251	267	45
252	268	44
253	269	43
254	270	42
255	271	41
256	272	40
257	273	39
258	274	38
259	275	37
260	276	36
261	277	34
262	278	33
263	279	32
264	280	31
265	281	30
266	282	29
267	283	28
268	284	27
269	285	26
270	286	25
271	287	24
272	288	23
273	289	22
274	290	21
275	291	20
276	293	19
277	294	17
278	295	16
279	296	15
280	297	14
281	298	13
282	299	12
283	300	11
284	301	10
285	302	9
286	303	8
287	304	7
288	305	6
289	306	5
290	307	4
291	308	3
292	309	2
293	310	1
294	311	0
